player_name,image_url
mark williams,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0WnLbg8DFRxe5wx0HqxUbNGef0sokGK6WUs4A6PeD9aCyNqEOOoq7mXSBpQ&s
zach collins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq-Ok3spdVJeL7nU45J4HI99Y2uQ6qgS6TVVTdtxko5x2gNogmyOqQ9gXWuQ&s
jalen williams,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuFnUI-aTLtyVvdHPqpARQEbaq1cz1nStqtr4k9BgV3rdhJWIaU026Wbl05w&s
jaden mcdaniels,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgYRv1fOrEG4ECm_8omRkUEW2hZdgKE8B9uR8oxyUkbVfo5e5m3KrmC-8_1K8&s
aaron gordon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfTHr6lEgD1eyLE3-dA3yT-euIzYokcnBrzWOo_WEKpGG9Zmh2GYN8tjnzlA&s
ben simmons,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR19fcAC_OArs-JNVo8M1xpRllERIkptjAC4ebnUlKi82mCcEVrZt_CnA05NdE&s
ivica zubac,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT81PNd1bfc1De7r9E9F13eHWeGjROUEpD7Lh1knB2FbTn1e9C1lBErPjWesr4&s
bruce brown,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvGwrvu-knvqIS_rzgtnVANnMG4mYZMi3V4ogmq1upq9972x3wYoMFkJhRDaQ&s
jusuf nurkic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcDPvueJXJDiEo0olnt1SIbDQqxIvrNath4OFU-iv80HGjV2g0gh-4uwz0NQ&s
spencer dinwiddie,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQS8i_c2S_syzRewR7yOOGidQ3sj1zExrkYON02UIC9Wswm076FKn-Ek-J1w&s
rj barrett,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFRq3ZZw5GZuO6_Dm7DAA18Qc1zY_J62aAqNynI4yviwUd1ugXELw7M4H0Lro&s
jalen duren,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo4Zi9uJ-jRyKhIZqRynE99dHxgJdY_KTui0kiEIOWg7rQ4HBS9hTQx-H5UA&s
jordan clarkson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkDKMADOxghlVglLFveych4HSebkoK6SnZiDfFjyJ2p12cDiSJ-zmIKGNU7g&s
zach collins.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq-Ok3spdVJeL7nU45J4HI99Y2uQ6qgS6TVVTdtxko5x2gNogmyOqQ9gXWuQ&s
kevin huerter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyRuHHNWyFKIsNGAfC2jZJDzlSskPIXMwarALRL1bjVxIym9CzA1UE8LdgPA&s
al horford,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQdru5-ecmStyxNS4mqyy8jCnLQ_WVUQa9DLSMfj8eS3wwrLfOuuFC-ezSvrw&s
keegan murray,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzOm6EmgyC2cs-DHuWtzkFdBTD9NcfIsfeGIseeXpwOC0FE21HGTMys46_iQ&s
kevin huerter.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyRuHHNWyFKIsNGAfC2jZJDzlSskPIXMwarALRL1bjVxIym9CzA1UE8LdgPA&s
