player_name,youtube_url,image_url,FG%,FT%,3P,PTS,REB,AST,STL,BLK,TOV
Karl-Anthony Towns,https://www.youtube-nocookie.com/embed/X088LAOaVys?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIwPYuR-_sbZ-36-2ADKTGbFsV8gLJSCF0wYkffXYhQfnFlpF9CvNkcJoJnxs&s,0.498,0.849,2.1,21.4,8.5,4.6,0.7,0.7,2.8
Lebron James,https://www.youtube-nocookie.com/embed/dtaXHIoqNWc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkIoRPrDpj7H5qCZJQ2m5oWwUTN4EVlpkswlk9nRFKgbtRUGcWAlHNqxFoACc&s,0.501,0.761,2.3,26.7,7.6,6,0.8,0.5,3.1
Fred Vanvleet,https://www.youtube-nocookie.com/embed/v7Z5G8ucGvk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz9ZxzhRgXTL5IW5U8CIWczNZbX99h_3eB_e02_usjrzNA36bjk_GQWCs-QA&s,0.4,0.888,3.1,18.4,3.9,6.4,1.6,0.5,2.1
Dejounte Murray,https://www.youtube-nocookie.com/embed/G503oAW1vV8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt36t9fZN_V9LVwhGyl8Rg-YP0IZdhHZfca-Z0uT93OatEC4Pv5uxi2glUeTE&s,0.463,0.822,1.6,20.7,6.5,6.4,1.6,0.3,2.2
Anthony Edwards,https://www.youtube-nocookie.com/embed/1vbWWcj7FQE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOVJTmwzaM-GlIubbze0RKa0GTgxFVYh8MNUNWnGE32Za2yWgEt1MWAxvznOU&s,0.464,0.769,3,25.8,5.7,4.8,1.6,0.7,3.2
Kawhi Leonard,https://www.youtube-nocookie.com/embed/xcNWBsuUchQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6RaPrCv4ygEvqG4CnHKJda96Fluy7kDcCgXCkDPwk7uJvF3qxJIJoMsvSs5M&s,0.504,0.863,1.9,23.2,6.2,3.7,1.3,0.5,1.7
Desmond Bane,https://www.youtube-nocookie.com/embed/oWVm3Zfd4zw?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRuWNv6gNt2a8MFijpIqN0wrl_CwW-FZ1oJwDwlAlV0RQiP7j-l1uVU23-rQ&s,0.47,0.89,3.4,22.6,5.4,4,1.2,0.4,2.2
Bam Adebayo,https://www.youtube-nocookie.com/embed/hj7EpmwUT10?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE5QCz6NsfSMS7XD_Wz1nX6y3EMn5Iz-GG0eyZwqOmTGHGa1lMTo8mM3gZvIk&s,0.536,0.803,0,20.2,9.8,3.5,1.3,0.8,2.6
Kristaps Porzingis,https://www.youtube-nocookie.com/embed/qFGbfmW0sGc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFNvzeE_N-luxybN8hl2I995fvQ67fAbetLPE7QVLkOQZa2rw0U3gFcsegXQ&s,0.478,0.852,1.8,18.7,7.9,2.1,0.8,1.5,1.8
Myles Turner,https://www.youtube-nocookie.com/embed/Wn0dzMd95ck?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaEFOR2fYyTL7FTJ8I3JPPQZQO2SKquLhpjZYE093-qgLkWV-V5zAOq2o6g4g&s,0.534,0.774,1.5,16.1,7.4,1.3,0.6,2.3,1.5
De'Aaron Fox,https://www.youtube-nocookie.com/embed/O7GtkEB7cZQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYhpX3yQuS5B4WB60BDM9LHQjXnKbDFnhLJD8UtbBJjWMJpik-OGx3J14NcpY&s,0.496,0.774,1.6,25.1,4.2,6.1,1.2,0.4,2.7
Nikola Vucevic,https://www.youtube-nocookie.com/embed/rCDhd0eVrk4?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZaTcqNDT7dpgyeXntmUMjjy1toxxvi6PtXd0_8N0oP7r7t53t6u-Y1ptd5A&s,0.49,0.806,1.5,17.4,11,3.2,0.7,0.7,1.8
Pascal Siakam,https://www.youtube-nocookie.com/embed/5sVD6cybIdg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPVu4j0LmTOqOvSLDE8O5E8aHK2CLcRXCLKPlINhpsxQj3CCE_N4H1e_cNDWs&s,0.478,0.77,1.2,22.1,7.8,5.7,1,0.5,2.4
Shai Gilgeous-Alexander,https://www.youtube-nocookie.com/embed/SWDEQ-7K0TA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8sX_ikCHZ7SxTXlPItoVTlrefef9ObEjatIn40-G0FYQpa2YJDdteN92R_oI&s,0.486,0.884,1,29.6,5,5.6,1.5,0.9,2.9
Jaylen Brown,https://www.youtube-nocookie.com/embed/uVezPrADV_Y?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQudujlfMQEJEFH9PnPiF68y2-Rv50dpf_4k_Vh4tfFbz0Rd_lVSLYtzm2WgLU&s,0.494,0.769,2.6,26.4,6.7,3.6,1.1,0.3,2.9
Bam Adebayo,https://www.youtube-nocookie.com/embed/hj7EpmwUT10?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrgooAkE8ObNeQENZuNAyj6-d2i04kuyQLbaCMF3XKLPgv3HFvQ9CGAkk5wFw&s,0.536,0.803,0,20.2,9.8,3.5,1.3,0.8,2.6
Darius Garland,https://www.youtube-nocookie.com/embed/wTijcfMquKo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2ac72Qa66qTIkR8w9NRZL-qTlsV0sqd5tMCzToyBt7TQUUdzSJKJAbmDyvT4&s,0.462,0.877,2.5,21.8,3,7.8,1.2,0.1,3
